Timestamp,PV,SP,OUTPUT
2026-06-22T17:26:06.058009,-3.3,100.0,95.0
2026-06-22T17:26:08.043902,-3.3,100.0,95.0
2026-06-22T17:26:10.045579,-3.3,100.0,95.0
2026-06-22T17:26:12.063406,-3.3,100.0,95.0
2026-06-22T17:26:14.065028,-3.3,100.0,95.0
2026-06-22T17:26:16.050872,-3.3,100.0,95.0
2026-06-22T17:26:18.084754,-3.3,100.0,95.0
2026-06-22T17:26:20.070505,-3.3,100.0,95.0
2026-06-22T17:26:22.072464,-3.3,100.0,95.0
2026-06-22T17:26:24.058214,-3.3,100.0,95.0
2026-06-22T17:26:26.044068,-3.3,100.0,95.0
2026-06-22T17:26:28.078036,-3.3,100.0,95.0
2026-06-22T17:26:30.063654,-3.3,100.0,95.0
2026-06-22T17:26:32.097428,-3.3,100.0,95.0
2026-06-22T17:26:34.083311,-3.3,100.0,95.0
2026-06-22T17:26:36.085165,-3.3,100.0,95.0
2026-06-22T17:26:38.070815,-3.3,100.0,95.0
2026-06-22T17:26:40.104651,-3.3,100.0,95.0
2026-06-22T17:26:42.058758,-3.3,100.0,95.0
2026-06-22T17:26:44.076295,-3.3,100.0,95.0
2026-06-22T17:26:46.078018,-3.3,100.0,95.0
2026-06-22T17:26:48.096040,-3.3,100.0,95.0
2026-06-22T17:26:50.097768,-3.3,100.0,95.0
2026-06-22T17:26:52.083656,-3.3,100.0,95.0
2026-06-22T17:26:54.117441,-3.3,100.0,95.0
2026-06-22T17:26:56.103269,-3.3,100.0,95.0
